[2025-02-15T15:03:39.688Z] [INFO] 程序启动
[2025-02-15T15:03:39.693Z] [INFO] 发现 153 张图片，开始上传...
[2025-02-15T15:03:39.694Z] [INFO] [1/153] 正在上传 001.jpg
[2025-02-15T15:03:43.257Z] [INFO] [2/153] 正在上传 002.jpg
[2025-02-15T15:03:44.783Z] [INFO] [3/153] 正在上传 003.jpg
[2025-02-15T15:03:46.240Z] [INFO] [4/153] 正在上传 004.jpg
[2025-02-15T15:03:48.221Z] [INFO] [5/153] 正在上传 005.jpg
[2025-02-15T15:03:49.890Z] [INFO] [6/153] 正在上传 006.jpg
[2025-02-15T15:03:52.854Z] [INFO] [7/153] 正在上传 007.jpg
[2025-02-15T15:03:55.135Z] [INFO] [8/153] 正在上传 008.jpg
[2025-02-15T15:03:57.138Z] [INFO] [9/153] 正在上传 009.jpg
[2025-02-15T15:03:59.453Z] [INFO] [10/153] 正在上传 010.jpg
[2025-02-15T15:04:01.830Z] [INFO] [11/153] 正在上传 011.jpg
[2025-02-15T15:04:04.005Z] [INFO] [12/153] 正在上传 012.jpg
[2025-02-15T15:04:06.487Z] [INFO] [13/153] 正在上传 013.jpg
[2025-02-15T15:04:08.605Z] [INFO] [14/153] 正在上传 014.jpg
[2025-02-15T15:04:11.318Z] [INFO] [15/153] 正在上传 015.jpg
[2025-02-15T15:04:13.490Z] [INFO] [16/153] 正在上传 016.jpg
[2025-02-15T15:04:15.651Z] [INFO] [17/153] 正在上传 017.jpg
[2025-02-15T15:04:16.841Z] [INFO] [18/153] 正在上传 018.jpg
[2025-02-15T15:04:17.720Z] [INFO] [19/153] 正在上传 019.jpg
[2025-02-15T15:04:19.622Z] [INFO] [20/153] 正在上传 020.jpg
[2025-02-15T15:04:31.381Z] [INFO] [20/153] 正在上传 020.jpg (第 1 次重试)
[2025-02-15T15:04:43.390Z] [INFO] [20/153] 正在上传 020.jpg (第 2 次重试)
[2025-02-15T15:04:46.701Z] [INFO] [21/153] 正在上传 021.jpg
[2025-02-15T15:04:49.925Z] [INFO] [22/153] 正在上传 022.jpg
[2025-02-15T15:04:53.406Z] [INFO] [23/153] 正在上传 023.jpg
[2025-02-15T15:04:55.801Z] [INFO] [24/153] 正在上传 024.jpg
[2025-02-15T15:04:59.183Z] [INFO] [25/153] 正在上传 025.jpg
[2025-02-15T15:05:02.456Z] [INFO] [26/153] 正在上传 026.jpg
[2025-02-15T15:05:05.665Z] [INFO] [27/153] 正在上传 027.jpg
[2025-02-15T15:05:08.950Z] [INFO] [28/153] 正在上传 028.jpg
[2025-02-15T15:05:10.964Z] [INFO] [29/153] 正在上传 029.jpg
[2025-02-15T15:05:14.368Z] [INFO] [30/153] 正在上传 030.jpg
[2025-02-15T15:05:16.511Z] [INFO] [31/153] 正在上传 031.jpg
[2025-02-15T15:05:19.032Z] [INFO] [32/153] 正在上传 032.jpg
[2025-02-15T15:05:20.415Z] [INFO] [33/153] 正在上传 033.jpg
